NGC/IC;-cat;RightAsc.(2000);;Decl.(2000);
205;110;0;40;41;41
221;32;0;42;40;51
224;31;0;42;41;16
581;13;1;33;60;39
598;33;1;33;30;39
628;74;1;36;15;46
650;76;1;42;51;34
651;76;1;42;51;34
1039;34;2;42;42;45
1068;77;2;42;0;0
1432;45;3;45;24;22
1435;45;3;46;23;45
1776;42;4;58;-66;25
1904;79;5;24;-24;31
1912;38;5;28;35;51
1952;1;5;34;22;0
1960;36;5;36;34;8
1976;42;5;35;-5;23
1982;43;5;35;-5;16
2068;78;5;46;0;4
2099;37;5;52;32;33
2168;35;6;9;24;21
2287;41;6;45;-20;45
2323;50;7;2;-8;23
2422;47;7;36;-14;28
2437;46;7;41;-14;48
2447;93;7;44;-23;51
2478;47;7;36;-14;28
2548;48;8;13;-5;45
2632;44;8;39;19;40
2682;67;8;50;11;48
3031;81;9;55;69;4
3034;82;9;55;69;40
3351;95;10;43;11;42
3368;96;10;46;11;49
3379;15;10;47;12;34
3556;18;11;11;55;40
3587;97;11;14;55;1
3623;65;11;18;13;5
3627;66;11;20;12;59
3992;19;11;57;53;22
4192;98;12;13;14;53
4254;99;12;18;;
4258;106;12;18;47;18
4303;61;12;21;4;28
4321;100;12;22;15;49
4374;84;12;25;12;53
4382;85;12;25;18;11
4406;86;12;26;12;56
4472;49;12;29;7;59
4486;87;12;30;12;23
4501;88;12;31;14;25
4548;91;12;35;14;29
4552;89;12;35;12;33
4569;90;12;36;13;9
4579;58;12;37;11;49
4590;68;12;39;-26;44
4594;14;12;39;-11;37
4621;59;12;42;11;38
4649;60;12;43;11;33
4736;94;12;50;41;7
4826;64;12;56;21;40
5024;53;13;12;18;10
5055;63;13;15;42;1
5194;51;13;29;47;11
5236;83;13;37;-29;52
5272;3;13;42;28;22
5457;101;14;3;54;20
5866;12;15;6;55;45
5904;5;15;18;2;4
6093;80;16;17;-22;58
6121;4;16;23;-26;31
6171;17;16;32;-13;3
6205;13;16;41;36;27
6218;12;16;47;-1;56
6254;10;16;57;-4;5
6266;62;17;1;-30;6
6273;19;17;2;-26;16
6333;9;17;19;-18;30
6341;92;17;17;43;8
6402;14;17;37;-3;14
6405;6;17;40;-32;15
6475;7;17;53;-34;47
6494;23;17;57;-18;59
6514;20;18;2;-22;58
6523;8;18;3;-24;22
6531;21;18;4;-22;29
6611;16;18;18;-13;47
6613;18;18;19;-17;8
6618;17;18;20;-16;11
6626;28;18;24;-24;52
6634;69;18;31;-32;20
6637;69;18;31;-32;20
6656;22;18;36;-23;54
6681;70;18;43;-32;17
6694;26;18;45;-9;24
6705;11;18;51;-6;16
6715;54;18;55;-30;28
6720;57;18;53;33;1
6779;56;19;16;30;11
6809;55;19;39;-30;57
6838;71;19;53;18;46
6853;27;19;59;22;43
6864;75;20;6;-21;55
6913;29;20;23;38;32
6981;72;20;53;-12;32
6994;73;20;58;-12;38
7078;15;21;29;12;10
7089;2;21;33;0;49
7092;39;21;31;48;26
7099;30;21;40;-23;10
7654;52;23;24;61;36
I349;45;3;46.3;23;56
